Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
LCore.exe	0.11	41,520 K	66,228 K	3580	Logitech Gaming Framework	Logitech Inc.
 logitechg_discord.exe	< 0.01	21,728 K	28,168 K	6924	Logitech G Discord Applet	Logitech Inc.
BitTitanDMAService.exe		5,316 K	10,400 K	3884	Device Management Service	BitTitan, Inc.
 BitTitanDMAExecutor.exe	0.65	9,960 K	19,932 K	4296	Device Management Agent	BitTitan, Inc.
  BitTitanDMAMachineHealthCheck.exe	< 0.01	9,324 K	17,956 K	4776	Device Management Machine Health Check	BitTitan, Inc.
  BitTitanDMASoftwareHealthCheck.exe	< 0.01	8,804 K	17,276 K	4080	Device Management Software Health Check	BitTitan, Inc.
CylanceUI.exe	< 0.01	49,636 K	14,524 K	4116	Cylance Protect	Cylance, Inc.
iusb3mon.exe	< 0.01	3,108 K	7,012 K	4204	iusb3mon	Intel Corporation
AutodeskDesktopApp.exe	< 0.01	13,380 K	32,028 K	4304	Autodesk Desktop App	Autodesk, Inc.
 AcWebBrowser.exe	0.01	10,164 K	32,060 K	4632	Chromium host executable	Autodesk
  AcWebBrowser.exe		32,268 K	30,868 K	5956	Chromium host executable	Autodesk
  AcWebBrowser.exe		28,912 K	41,692 K	5564	Chromium host executable	Autodesk
jusched.exe	< 0.01	7,016 K	17,548 K	4388	Java Update Scheduler	Oracle Corporation
 jucheck.exe	< 0.01	7,844 K	17,944 K	2124	Java Update Checker	Oracle Corporation
PulseSetupClient.exe	< 0.01	8,272 K	20,844 K	11648	Pulse Secure Setup Client	Pulse Secure, LLC
 dsHostChecker.exe	0.01	53,988 K	67,792 K	10652	Host Checker"	Pulse Secure, LLC"
esu.exe	0.18	29,556 K	32,840 K	7448	Garmin.Omt.Express.SelfUpdater	
 tmp56C8.tmp.exe		3,708 K	6,648 K	5812	Garmin Express	Garmin Ltd or its subsidiaries
  tmp56C8.tmp.exe		24,392 K	33,084 K	9160	Garmin Express	Garmin Ltd or its subsidiaries
   GarminExpressInstaller.exe		4,748 K	9,624 K	3352	Garmin Express	Garmin Ltd or its subsidiaries
Revit.exe	0.85	15,200,032 K	15,417,668 K	13428	Autodesk Revit	Autodesk, Inc.
 acwebbrowser.exe	0.01	14,152 K	39,044 K	15012	Chromium host executable	Autodesk
  acwebbrowser.exe	0.01	34,484 K	35,668 K	13524	Chromium host executable	Autodesk
  acwebbrowser.exe	< 0.01	31,160 K	49,716 K	5372	Chromium host executable	Autodesk
 CefSharp.BrowserSubprocess.exe		72,952 K	90,276 K	12220	CefSharp.BrowserSubprocess	The CefSharp Authors
 RevitWorker.exe	0.16	230,912 K	282,640 K	8452	Autodesk Revit	Autodesk, Inc.
 CefSharp.BrowserSubprocess.exe		84,884 K	101,772 K	2696	CefSharp.BrowserSubprocess	The CefSharp Authors
OUTLOOK.EXE	0.01	323,960 K	397,964 K	10752	Microsoft Outlook	Microsoft Corporation
 chrome.exe	0.03	126,232 K	197,388 K	4608	Google Chrome	Google Inc.
  chrome.exe		3,536 K	7,208 K	18372	Google Chrome	Google Inc.
  chrome.exe		4,328 K	8,520 K	7160	Google Chrome	Google Inc.
